name,high,low,open,close,avg,volume,day
PID,3.410989011,3.349450549,3.381318681,3.381318681,3.374978022,1510,2022-01-01 to 2022-05-22
BBT,21.40659341,21.03186813,21.17142857,21.23296703,21.18553846,1508,2022-01-01 to 2022-05-22
MKV,14.12527473,13.86593407,13.97472527,14.08351648,14.00243956,1495,2022-01-01 to 2022-05-22
BHT,11.85164835,11.74725275,11.81208791,11.79340659,11.77054945,1478,2022-01-01 to 2022-05-22
DTL,49.54285714,48.91648352,49.24340659,49.1978022,47.57928571,1440,2022-01-01 to 2022-05-22
HNT,7.621978022,7.287912088,7.367032967,7.524175824,7.460373626,1430,2022-01-01 to 2022-05-22
VFR,8.72967033,8.453846154,8.601098901,8.574725275,8.605648352,1421,2022-01-01 to 2022-05-22
PTH,15.58901099,15.52857143,15.58351648,15.53406593,15.54401099,1417,2022-01-01 to 2022-05-22
ALT,19.56703297,19.31538462,19.4032967,19.45604396,19.46287912,1409,2022-01-01 to 2022-05-22
USC,9.292307692,9.021978022,9.102197802,9.154945055,9.130197802,1400,2022-01-01 to 2022-05-22
NBW,21.63846154,21.28571429,21.52857143,21.42527473,21.4492967,1398,2022-01-01 to 2022-05-22
L35,6.946153846,6.762637363,6.842857143,6.864835165,6.849252747,1390,2022-01-01 to 2022-05-22
VWS,17.58461538,16.74945055,17.21538462,17.19340659,17.18608791,1383,2022-01-01 to 2022-05-22
EBS,11.7956044,11.53186813,11.64505495,11.66703297,11.66485714,1379,2022-01-01 to 2022-05-22
PMC,66.86153846,66.09230769,66.61098901,66.19230769,66.60443956,1365,2022-01-01 to 2022-05-22
SDK,30.97252747,30.61978022,30.71978022,30.87362637,30.82098901,1340,2022-01-01 to 2022-05-22
CPC,22.97582418,22.67142857,22.79010989,22.88351648,22.79572527,1330,2022-01-01 to 2022-05-22
HJC,8.835164835,8.748351648,8.805494505,8.78021978,8.789461538,1298,2022-01-01 to 2022-05-22
PEC,7.858241758,7.603296703,7.704395604,7.756043956,7.731846154,1288,2022-01-01 to 2022-05-22
NTW,18.76813187,18.5967033,18.64175824,18.72637363,18.67662637,1284,2022-01-01 to 2022-05-22
VES,4.001098901,3.943956044,3.965934066,3.989010989,3.980868132,1276,2022-01-01 to 2022-05-22
CT3,9.514285714,9.482417582,9.482417582,9.514285714,9.492912088,1248,2022-01-01 to 2022-05-22
CCM,54.56263736,54.04175824,54.21538462,54.37142857,54.25036264,1216,2022-01-01 to 2022-05-22
SDU,19.66813187,18.66593407,19.23956044,19.31978022,19.06307692,1199,2022-01-01 to 2022-05-22
TVM,10.37692308,10.21538462,10.28901099,10.27472527,10.28138462,1186,2022-01-01 to 2022-05-22
ACE,37.65164835,36.76043956,36.8956044,37.51868132,37.32559341,1176,2022-01-01 to 2022-05-22
TJC,16.73186813,16.41428571,16.53296703,16.63846154,16.63881319,1173,2022-01-01 to 2022-05-22
KTL,24.71648352,23.87802198,24.43076923,24.0978022,24.23928571,1153,2022-01-01 to 2022-05-22
QHW,28.09010989,27.6043956,27.93076923,27.75054945,27.81659341,1124,2022-01-01 to 2022-05-22
TH1,8.424175824,8.338461538,8.364835165,8.378021978,8.379263736,1097,2022-01-01 to 2022-05-22
SFC,24.20164835,23.85934066,24.03131868,24.05769231,19.03991209,1095,2022-01-01 to 2022-05-22
PMS,25.39230769,25.12087912,25.26043956,25.23516484,25.26050549,1094,2022-01-01 to 2022-05-22
GND,33.13076923,32.43186813,32.81978022,32.82857143,32.7469011,1088,2022-01-01 to 2022-05-22
VNT,68.49340659,67.39120879,68.07362637,68.03956044,68.28757143,1085,2022-01-01 to 2022-05-22
SHC,12.40879121,12.16263736,12.23076923,12.31428571,12.26243956,1083,2022-01-01 to 2022-05-22
IHK,21.61648352,20.94725275,21.21758242,21.36153846,21.20063736,1042,2022-01-01 to 2022-05-22
L61,8.576923077,8.326373626,8.39010989,8.507692308,8.432626374,1012,2022-01-01 to 2022-05-22
TRS,35.83076923,35.74065934,35.77472527,35.8021978,35.78616484,994,2022-01-01 to 2022-05-22
BTT,48.98516484,47.26098901,47.78571429,48.39505495,35.94076923,990,2022-01-01 to 2022-05-22
PMT,10.23406593,9.606593407,9.820879121,10.01428571,9.910846154,975,2022-01-01 to 2022-05-22
TTD,48.6967033,47.58681319,48.24835165,48.13846154,48.33467033,949,2022-01-01 to 2022-05-22
LBE,28.66043956,28.4978022,28.4989011,28.65604396,28.59858242,901,2022-01-01 to 2022-05-22
HPW,18.80879121,18.53076923,18.75604396,18.6956044,18.65636264,896,2022-01-01 to 2022-05-22
EAD,23.48351648,23.34835165,23.39340659,23.45054945,23.41474725,879,2022-01-01 to 2022-05-22
HEC,70.52307692,69.73956044,70.30659341,70.01098901,70.02592308,877,2022-01-01 to 2022-05-22
IST,33.86153846,33.58131868,33.80989011,33.63406593,33.64896703,877,2022-01-01 to 2022-05-22
GVT,137.5417582,136.4263736,136.8483516,137.021978,136.7721209,867,2022-01-01 to 2022-05-22
VE4,70.18021978,69.82967033,69.83516484,70.17472527,69.9513956,862,2022-01-01 to 2022-05-22
NDC,107.0384615,105.0703297,106.4615385,106.1758242,105.9542418,831,2022-01-01 to 2022-05-22
DAE,24.64945055,24.32197802,24.52747253,24.47252747,24.46642857,825,2022-01-01 to 2022-05-22
PHS,19.54725275,19.04725275,19.35934066,19.26703297,19.25932967,825,2022-01-01 to 2022-05-22
PNC,10.59043956,10.35252747,10.43802198,10.50307692,7.432637363,821,2022-01-01 to 2022-05-22
HPB,19.83736264,19.80879121,19.80879121,19.83406593,19.8159011,804,2022-01-01 to 2022-05-22
VHF,11.13846154,11.13846154,11.13846154,11.13846154,11.13846154,795,2022-01-01 to 2022-05-22
TST,12.34725275,12.18021978,12.25054945,12.27692308,12.2352967,794,2022-01-01 to 2022-05-22
NBT,15.99340659,15.85934066,15.92087912,15.94835165,15.93641758,791,2022-01-01 to 2022-05-22
SBD,14.9032967,14.82857143,14.84945055,14.88351648,14.86220879,783,2022-01-01 to 2022-05-22
NHC,31.91758242,31.79450549,31.82417582,31.91428571,31.85791209,774,2022-01-01 to 2022-05-22
AMC,25.14945055,24.92967033,25.01648352,25.06483516,25.017,771,2022-01-01 to 2022-05-22
TMX,11.75604396,11.61428571,11.69450549,11.68131868,11.676,766,2022-01-01 to 2022-05-22
SPB,50.9021978,50.9,50.9021978,50.9021978,50.9017033,751,2022-01-01 to 2022-05-22
GTD,16.5032967,16.17362637,16.29120879,16.41428571,16.33287912,749,2022-01-01 to 2022-05-22
PJC,24.80989011,24.54065934,24.64065934,24.64175824,24.65579121,740,2022-01-01 to 2022-05-22
CAN,58.05934066,56.52857143,57.32087912,57.31428571,57.30104396,740,2022-01-01 to 2022-05-22
TNM,4.910989011,4.876923077,4.879120879,4.908791209,4.899274725,740,2022-01-01 to 2022-05-22
RAT,17.84945055,17.62857143,17.73516484,17.74505495,17.71597802,726,2022-01-01 to 2022-05-22
